Ours,alternative definitions,couger1988motivators 1977 (fitz1978dp),couger1988motivators 1987,herzberg1986one,gerosa2021shifting,our,follow-up
Challenge,Opportunity for Achievement/Challenge,1,2,0.4,,0.62,0.64
Community,Interpersonal relations/relationship with peers/Kinship/sense of belonging,7,8,0.04,6,0.41,0.32
Enjoyment,The work itself/fun,2,1,0.22,3,0.74,0.71
Hostility,,,,,,0.07,0.06
Ideology,,,,,6,0.53,0.61
Importance,Making a contribution/task significance,,,,,0.63,0.59
Learning,Technical supervision/growth/Development needs addressed ,5,7,0.05,1,0.72,0.69
Ownership,Increased responsibility/Empowerment/responsibility/Autonomy,6,6,0.2,9,0.73,0.76
Payment,Pay and benefits/Rewards and incentives,8,4,0.05,20,0.45,0.37
Recognition,Recognition/reputation,3,5,0.3,10,0.48,0.46
Self-use,own-use,,,,12,0.53,0.53