,index,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,Question Text,question_type,motivation_type
0,Q84.1,147.0,200.0,45.0,122.0,514.0,0.68,0.52,0.37,0.77,0.46,0.55,0.18,0.47,0.49,0.37,0.29,1.0,0.95,0.11,,My personal motivation in this repository has increased since a year ago,Person in Project,
1,Q83.1,69.0,179.0,28.0,134.0,410.0,0.6,0.5,0.24,0.71,0.44,0.34,0.14,0.3,0.5,0.2,0.2,1.0,0.79,0.04,,"The repository’s community of developers is more motivated than that of other repositories. If you are the only developer in the project, please skip.",Project,Community
2,Q68,27.0,198.0,13.0,178.0,416.0,0.54,0.49,0.1,0.68,0.37,0.13,0.06,0.12,0.51,0.07,0.07,1.0,0.46,0.01,,"We have many heated arguments in the community. If you are the only developer in the project, please skip.",Project,Hostility
3,Q96.1,13.0,205.0,6.0,197.0,421.0,0.52,0.5,0.05,0.68,0.37,0.06,0.03,0.06,0.5,0.03,0.03,1.0,0.27,0.0,,"In the past year, members of my GitHub community made demeaning or derogatory remarks about me. If you are the only developer in the project, please skip.",Person in Project,Hostility
4,Q95.1,13.0,205.0,6.0,197.0,421.0,0.52,0.5,0.05,0.68,0.37,0.06,0.03,0.06,0.5,0.03,0.03,1.0,0.27,0.0,,"In the past year, members of my GitHub community put me down or were condescending to me. If you are the only developer in the project, please skip.",Person in Project,Hostility
5,Q75,114.0,154.0,54.0,92.0,414.0,0.65,0.5,0.41,0.68,0.36,0.55,0.26,0.44,0.5,0.29,0.29,1.0,0.97,0.07,,"Belonging to the  community is motivating my work on the repository. If you are the only developer in the project, please skip.",Person in Project,Community
6,Q84,159.0,174.0,73.0,111.0,517.0,0.64,0.52,0.45,0.69,0.31,0.59,0.3,0.46,0.5,0.29,0.23,1.0,0.99,0.06,,I regularly reach a high level of productivity,Person,
7,Q70,201.0,149.0,97.0,70.0,517.0,0.68,0.52,0.58,0.67,0.29,0.74,0.39,0.55,0.5,0.34,0.29,1.0,0.98,0.09,,My work on the repository is creative,Person in Project,Enjoyment
8,Q72,246.0,122.0,125.0,25.0,518.0,0.71,0.52,0.72,0.66,0.27,0.91,0.51,0.62,0.51,0.39,0.36,1.0,0.86,0.15,,I derive satisfaction from working on this repository,Person in Project,Enjoyment
9,Q89,177.0,158.0,89.0,95.0,519.0,0.65,0.52,0.51,0.67,0.27,0.65,0.36,0.49,0.5,0.29,0.23,1.0,1.0,0.06,,I am satisfied with my performance in software development,Person,
10,Q76,144.0,119.0,91.0,61.0,415.0,0.63,0.49,0.57,0.61,0.24,0.7,0.43,0.49,0.5,0.27,0.25,1.0,0.99,0.05,,"The community is very professional. If you are the only developer in the project, please skip.",Project,Community
11,Q77,176.0,151.0,94.0,94.0,515.0,0.63,0.52,0.52,0.65,0.24,0.65,0.38,0.48,0.5,0.27,0.21,1.0,1.0,0.05,,I get recognition due to my contribution to the repository,Person in Project,Recognition
12,Q82,193.0,141.0,105.0,76.0,515.0,0.65,0.52,0.58,0.65,0.24,0.72,0.43,0.52,0.5,0.29,0.24,1.0,0.98,0.06,,Code quality in the repository improved since a year ago,Project,
13,Q65_1,54.0,189.0,30.0,185.0,458.0,0.53,0.52,0.18,0.64,0.23,0.23,0.14,0.2,0.49,0.09,0.02,1.0,0.69,0.01,,Years of contribution to GitHub - Click to write Choice 1,Person,
14,Q97.1,130.0,125.0,85.0,75.0,415.0,0.61,0.49,0.52,0.6,0.22,0.63,0.4,0.45,0.5,0.23,0.21,1.0,1.0,0.04,,"In the past year, members of my GitHub community asked questions that show their understanding of my contributions. If you are the only developer in the project, please skip.",Person in Project,Recognition
15,Q98.1,137.0,114.0,92.0,68.0,411.0,0.61,0.5,0.56,0.6,0.2,0.67,0.45,0.46,0.5,0.22,0.22,1.0,0.99,0.04,,"In the past year, members of my GitHub community expressed interest in my contributions. If you are the only developer in the project, please skip.",Person in Project,Recognition
16,Q71.1,200.0,126.0,120.0,69.0,515.0,0.63,0.52,0.62,0.62,0.2,0.74,0.49,0.51,0.51,0.25,0.21,1.0,0.96,0.05,,Working on this repository is challenging,Project,Challenge
17,Q101,239.0,97.0,150.0,31.0,517.0,0.65,0.52,0.75,0.61,0.18,0.89,0.61,0.57,0.51,0.27,0.24,1.0,0.81,0.08,,I feel responsible to the repository success,Person in Project,Ownership
18,Q67,177.0,135.0,112.0,94.0,518.0,0.6,0.52,0.56,0.61,0.17,0.65,0.45,0.46,0.5,0.2,0.15,1.0,0.99,0.03,,I’m interested in the repository for my own needs,Person in Project,Self-use
19,Q81,122.0,168.0,77.0,146.0,513.0,0.57,0.52,0.39,0.61,0.17,0.46,0.31,0.35,0.49,0.14,0.08,1.0,0.96,0.02,,The quality of the code in this repository is better than others,Project,
20,Q85,184.0,132.0,115.0,88.0,519.0,0.61,0.52,0.58,0.62,0.17,0.68,0.47,0.48,0.5,0.21,0.16,1.0,0.98,0.03,,I am a relatively productive programmer,Person,
21,Q73,199.0,119.0,127.0,73.0,518.0,0.61,0.53,0.63,0.61,0.16,0.73,0.52,0.5,0.51,0.21,0.17,1.0,0.95,0.04,,The repository is important,Project,Importance
22,Q95,85.0,189.0,57.0,187.0,518.0,0.53,0.53,0.27,0.6,0.14,0.31,0.23,0.26,0.49,0.08,0.01,1.0,0.85,0.01,,I contribute to open source in order to have an online portfolio,Person,Recognition
23,Q88,183.0,122.0,124.0,89.0,518.0,0.59,0.53,0.59,0.6,0.14,0.67,0.5,0.46,0.5,0.17,0.12,1.0,0.98,0.02,,My code is of high quality,Person,
24,Q74,225.0,94.0,153.0,44.0,516.0,0.62,0.52,0.73,0.6,0.14,0.84,0.62,0.53,0.51,0.21,0.19,1.0,0.84,0.04,,"When I look at what we accomplish, I feel a sense of pride",Person in Project,
25,Q90,219.0,95.0,152.0,53.0,519.0,0.61,0.52,0.71,0.59,0.13,0.81,0.62,0.52,0.51,0.19,0.15,1.0,0.86,0.03,,I want my code to be beautiful,Person,
26,Q71,153.0,126.0,107.0,100.0,486.0,0.57,0.52,0.53,0.59,0.13,0.6,0.46,0.42,0.5,0.14,0.1,1.0,1.0,0.02,,I contribute to open source due to ideology,Person,Ideology
27,Q69,16.0,197.0,13.0,193.0,419.0,0.51,0.5,0.07,0.55,0.11,0.08,0.06,0.07,0.5,0.01,0.01,1.0,0.36,0.0,,"I wish that certain developers in the repository will leave. If you are the only developer in the project, please skip.",Person in Project,Hostility
28,Q91,245.0,68.0,178.0,27.0,518.0,0.6,0.53,0.82,0.58,0.1,0.9,0.72,0.54,0.52,0.17,0.15,1.0,0.69,0.04,,I enjoy software development very much,Person,Enjoyment
29,Is_Paid,133.0,146.0,95.0,137.0,511.0,0.55,0.53,0.45,0.58,0.1,0.49,0.39,0.36,0.5,0.1,0.03,1.0,0.99,0.01,,Is_Paid,Person in Project,Payment
30,Q79,216.0,88.0,158.0,55.0,517.0,0.59,0.52,0.72,0.58,0.1,0.8,0.64,0.5,0.51,0.15,0.12,1.0,0.85,0.02,,I learn from my contributions,Person in Project,Learning
31,Q34,186.0,105.0,141.0,83.0,515.0,0.57,0.52,0.63,0.57,0.09,0.69,0.57,0.45,0.51,0.12,0.08,1.0,0.95,0.01,,I have complete autonomy in contributing to the repository,Person in Project,Ownership
32,Q78,232.0,67.0,180.0,38.0,517.0,0.58,0.52,0.8,0.56,0.08,0.86,0.73,0.52,0.51,0.13,0.11,1.0,0.73,0.02,,I am a core member of the repository,Person in Project,Ownership
33,Q87,199.0,93.0,154.0,73.0,519.0,0.56,0.52,0.68,0.56,0.08,0.73,0.62,0.47,0.51,0.11,0.07,1.0,0.9,0.01,,I am skilled in software development,Person,
34,Q96,153.0,128.0,118.0,119.0,518.0,0.54,0.53,0.52,0.56,0.08,0.56,0.48,0.39,0.5,0.08,0.03,1.0,1.0,0.0,,I try to write high quality code because others will see it,Person,Recognition
35,Q102,215.0,79.0,167.0,57.0,518.0,0.57,0.53,0.74,0.56,0.07,0.79,0.68,0.49,0.51,0.11,0.08,1.0,0.83,0.01,,I have significant influence on the repository,Person in Project,Ownership
36,Q97,243.0,55.0,192.0,29.0,519.0,0.57,0.52,0.84,0.56,0.07,0.89,0.78,0.52,0.52,0.11,0.1,1.0,0.64,0.02,,I enjoy trying to solve complex problems,Person,Enjoyment
37,Q99,216.0,76.0,170.0,56.0,518.0,0.56,0.53,0.75,0.56,0.07,0.79,0.69,0.49,0.51,0.1,0.07,1.0,0.82,0.01,,I improved as a programmer since a year ago,Person,
38,Q94,122.0,152.0,95.0,150.0,519.0,0.53,0.52,0.42,0.56,0.07,0.45,0.38,0.33,0.5,0.06,0.01,1.0,0.98,0.0,,I write detailed commit messages,Person,
39,Q93,155.0,126.0,121.0,117.0,519.0,0.54,0.52,0.53,0.56,0.07,0.57,0.49,0.39,0.5,0.08,0.03,1.0,1.0,0.0,,I write tests for my code,Person,
40,Q92,248.0,45.0,201.0,24.0,518.0,0.57,0.53,0.87,0.55,0.05,0.91,0.82,0.52,0.52,0.09,0.08,1.0,0.57,0.01,,It is important for me to program well,Person,
41,Q83,166.0,107.0,139.0,105.0,517.0,0.53,0.52,0.59,0.54,0.04,0.61,0.57,0.4,0.5,0.05,0.01,1.0,0.98,0.0,,"My motivation has more influence on my productivity, than my skill",Person,
42,Q98,117.0,142.0,105.0,154.0,518.0,0.5,0.52,0.43,0.53,0.01,0.43,0.43,0.31,0.5,0.01,-0.04,1.0,0.99,0.0,,I contribute to open source in order to become a better programmer,Person,
43,Q61_1,252.0,0.0,234.0,0.0,486.0,0.52,0.52,1.0,0.52,0.0,1.0,1.0,0.52,0.52,0.0,0.0,1.0,0.0,-0.0,,Age,Person,
44,Q1,26.0,215.0,32.0,246.0,519.0,0.46,0.52,0.11,0.45,-0.14,0.1,0.13,0.09,0.48,-0.04,-0.11,1.0,0.51,0.0,,Productivity is more important to me than quality,Person,
